key,first_author,year,title,journal,quartile,databases,rqs,rq2_level,doi
deng2023_crime_risk_spatial,Deng et al.,2023,Crime risk prediction incorporating geographical spatiotemporal dependency into machine learning models,Information Sciences,Q1,Scopus,1,L0,10.1016/j.ins.2023.119414
hakyemez2023_park_events,Hakyemez et al.,2023,Incorporating park events into crime hotspot prediction on street networks: A spatiotemporal graph learning approach,Applied Soft Computing,Q1,Scopus,"1,3",L0,10.1016/j.asoc.2023.110886
jin2023_astifnet_hotspot,Jin et al.,2023,Urban hotspot forecasting via automated spatio-temporal information fusion,Applied Soft Computing,Q1,Scopus,1,L0,10.1016/j.asoc.2023.110087
mithoo2023_bilstm_crime,Mithoo et al.,2023,Social network analysis for crime rate detection using Spizella swarm optimization based BiLSTM,Knowledge-Based Systems,Q1,CrossRef,"1,3",L0,10.1016/j.knosys.2023.110450
tam2023_multimodal_tweets_crime,Tam et al.,2023,Multimodal Deep Learning Crime Prediction Using Tweets,IEEE Access,Q2,CrossRef,"1,3",L0,10.1109/access.2023.3308967
tcss2023_domain_adaptation,Zhou et al.,2023,Unsupervised Domain Adaptation for Crime Risk Prediction Across Cities,IEEE Transactions on Computational Social Systems,Q1,CrossRef,1,L0,10.1109/tcss.2022.3207987
wu2023_fairness_crime,Wu et al.,2023,Auditing the fairness of place-based crime prediction models implemented with deep learning approaches,"Computers, Environment and Urban Systems",Q1,ScienceDirect,1,L0,10.1016/j.compenvurbsys.2023.101967
access2024_rl_crime_social,Yang et al.,2024,A Reinforcement Learning Approach Combined With Scope Loss Function for Crime Prediction on Social Networks,IEEE Access,Q2,CrossRef,"1,3",L0,10.1109/access.2024.3473296
brunton_smith2024_reliability_crime,Brunton-Smith et al.,2024,Estimating the Reliability of Crime Data in Geographic Areas,The British Journal of Criminology,Q1,Scopus,2,L2,10.1093/bjc/azae018
fe2024_dark_figure_crime,Fé et al.,2024,Partial Identification of the Dark Figure of Crime with Survey Data Under Misreporting Errors,Journal of Quantitative Criminology,Q1,Scopus,2,L2,10.1007/s10940-024-09593-4
gu2024_graph_representation_street,Gu et al.,2024,Graph Representation Learning for Street-Level Crime Prediction,ISPRS International Journal of Geo-Information,Q2,Scopus,"1,3",L0,10.3390/ijgi13070229
jbd2024_multidensity_crime,Cesario et al.,2024,Multi-density crime predictor: an approach to forecast criminal activities in multi-density urban areas,Journal of Big Data,Q1,CrossRef,1,L0,10.1186/s40537-024-00935-4
jing2024_deep_multiscale_hotspot,Jing et al.,2024,A deep multi-scale neural networks for crime hotspot mapping prediction,"Computers, Environment and Urban Systems",Q1,Scopus,1,L0,10.1016/j.compenvurbsys.2024.102089
lee2024_built_env_crime,Lee et al.,2024,Analysing non-linearities and threshold effects between street-level built environments and local crime patterns: An interpretable machine learning approach,Urban Studies,Q1,Scopus,3,L0,10.1177/00420980241270948
timukaite2024_trust_police,Timukaite et al.,2024,Trust in the police and crime reporting: Reassessing assumptions in the context of violent crime in England and Wales,International Review of Victimology,Q1,Scopus,2,L2,10.1177/02697580241296569
zhou2024_hdmgnn,Zhou et al.,2024,HDM-GNN: A Heterogeneous Dynamic Multi-view Graph Neural Network for Crime Prediction,ACM Transactions on Sensor Networks,Q1,"ACM DL, Scopus","1,3",L0,10.1145/3665141
albors2025_dl_crime_mobility,Albors Zumel et al.,2025,Deep Learning for Crime Forecasting: The Role of Mobility at Fine-grained Spatiotemporal Scales,Journal of Quantitative Criminology,Q1,Scopus,"1,3",L0,10.1007/s10940-025-09629-3
boldt2025_graphtrace_cctv,Boldt et al.,2025,GraphTrace: A Graph-Guided Hotspot Detection Method for CCTV Placement,Journal of Quantitative Criminology,Q1,CrossRef,1,L0,10.1007/s10940-025-09623-9
cd2025_dfc_victimization,Wheeler et al.,2025,Using Victimization Reporting Rates to Estimate the Dark Figure of Crime: A Case Study,Crime and Delinquency,Q2,CrossRef,2,L2,10.1177/00111287251359210
devi2025_cnn_crime_rotation,Devi et al.,2025,A rotation invariant Co-ordinate convolutional neural network based crime prediction utilizing spatial crime distribution analysis,Expert Systems with Applications,Q1,CrossRef,1,L0,10.1016/j.eswa.2025.128539
fan2025_informer_stgcn,Fan et al.,2025,Research on a Crime Spatiotemporal Prediction Method Integrating Informer and ST-GCN: A Case Study of Four Crime Types in Chicago,Big Data and Cognitive Computing,Q1,Scopus,"1,3",L0,10.3390/bdcc9070179
fu2025_excrime_gib,Fu et al.,2025,Augmented graph information bottleneck with type-aware periodicity heterogeneity for explainable crime prediction,Information Processing & Management,Q1,Scopus,1,L0,10.1016/j.ipm.2025.104227
jin2025_event_centric_crime_hotspot,Jin et al.,2025,An Event-Centric Framework for Predicting Crime Hotspots With Flexible Time Intervals,IEEE Transactions on Knowledge and Data Engineering,Q1,CrossRef,"1,3",L0,10.1109/tkde.2025.3618389
kim2025_crime_mapping_xai,Kim et al.,2025,"Crime mapping in urban environments using explainable AI: A case study of Daegu, Korea",Sustainable Cities and Society,Q1,ScienceDirect,"1,3",L0,10.1016/j.scs.2025.106507
liang2025_spatiotemporal_patrol,Liang et al.,2025,Spatiotemporal crime prediction and fairness-constrained spatial optimization with deep reinforcement learning for patrol region design,International Journal of Applied Earth Observation and Geoinformation,Q1,Scopus,1,L0,10.1016/j.jag.2025.104973
nca2025_crime_type_forecast,İlgün et al.,2025,"Exploratory data analysis, time series analysis, crime type prediction, and trend forecasting in crime data using machine learning, deep learning, and statistical methods",Neural Computing and Applications,Q1,CrossRef,1,L0,10.1007/s00521-025-11094-9
shahmoradi2025_hybrid_stresnet,Shahmoradi et al.,2025,Hybrid ST-ResNet and LSTM approach for precise crime hotspot prediction,Scientific Reports,Q1,Scopus,"1,3",L0,10.1038/s41598-025-24559-7
shan2025_ada_gcnlstm,Shan et al.,2025,Ada-GCNLSTM: An adaptive urban crime spatiotemporal prediction model,Journal of Safety Science and Resilience,Q1,ScienceDirect,1,L0,10.1016/j.jnlssr.2024.11.003
tcss2025_start_transformer,Butt et al.,2025,START: A Spatiotemporal Autoregressive Transformer for Enhancing Crime Prediction Accuracy,IEEE Transactions on Computational Social Systems,Q1,CrossRef,1,L0,10.1109/tcss.2025.3550196
