record_id,doi,title,authors,year,journal,quartile,databases,abstract,abstract_source,decision,primary_reason,secondary_reason,needs_fulltext_check,confidence,screened_at,notes
SLR1-0001,10.1093/bjc/azae018,Estimating the Reliability of Crime Data in Geographic Areas,Brunton-Smith; Ian; Cernat; Alex; Pina-Sánchez; Jose; Buil-Gil; David,2024,The British Journal of Criminology,Q1,Scopus,"Crime data are problematic: Crimes that are never reported undermine its validity and differences in police recording practices affect its reliability. However, the true extent of these problems is not well known, with existing studies suffering from a number of methodological limitations. We examine the quality of police recorded crime data and survey-based crime estimates recorded in England and Wales using a robust latent trait model that effectively represents the competing sources of error. We find that whilst crime rates derived from police data systematically underestimate the true extent of crime, they are substantially more reliable than estimates from survey data. Reliability is lower for violence and criminal damage and is getting worse over time.",data/silver/analysis/field_corpus.json,include_title_abstract,IC4,,no,high,2026-06-27,"RQ2 directo: fiabilidad de datos policiales, subregistro y comparacion con encuestas."
SLR1-0002,10.1177/02697580241296569,Trust in the police and crime reporting: Reassessing assumptions in the context of violent crime in England and Wales,Timukaite; Aiste; Buil-Gil; David,2024,International Review of Victimology,Q1,Scopus,"The reporting of crime to the police is crucial for an efficient functioning of the criminal justice system. It is widely argued that victims’ decision to contact the police is based on considerations of the anticipated costs and benefits of crime reporting. Scholars have previously suggested that victims’ attitudes towards the police may influence their perceptions of the costs and benefits associated with crime reporting. However, victims’ trust in the police as a multidimensional construct has not been empirically tested as a predictor of victims’ crime reporting to the police. This study uses Crime Survey for England and Wales data from 2017/2018 to 2019/2020 to explore the relationship between victims’ trust in police effectiveness and violent crime reporting behaviour. Furthermore, this study examines the influence of victim and situational characteristics on decisions to report victimisation to the police. Our analysis reveals that victims’ trust in police effectiveness does not predict their decision to disclose violent crime victimisation to the police. However, victims’ sex and age significantly influence reporting decisions. Moreover, our findings reveal that situational factors, specifically the presence of a weapon and injury to the victim, are important predictors of violent crime reporting.",data/silver/analysis/field_corpus.json,include_title_abstract,IC4,,no,high,2026-06-27,RQ2 directo: reporting de crimen y confianza policial.
SLR1-0003,10.1016/j.jnlssr.2024.11.003,Ada-GCNLSTM: An adaptive urban crime spatiotemporal prediction model,Shan; M.; Ye; C.; Chen; P.; Peng; S.,2025,Journal of Safety Science and Resilience,Q1,ScienceDirect,"Accurate crime prediction is crucial for the proactive allocation of law enforcement resources and ensuring urban Spatiotemporal prediction safety. A major challenge in achieving accurate predictions lies in identifying generalized patterns of criminal Crime prediction behavior from spatiotemporal features in crime data. Additionally, the inherent randomness and volatility of Graph convolutional networks crime data at the spatiotemporal level introduce noise, which can mislead prediction models. While many Deep learning effective spatiotemporal crime prediction methods have been proposed, most overlook this issue, reducing their ability to generalize. In this paper, we introduce a novel deep learning-based model, adaptive-GCNLSTM (Ada- GCNLSTM). Specifically, in the spatial feature extraction module, we enhance the model’s ability to capture crime spatial distributions by leveraging graph convolutional networks to model spatial dependencies in conjunction with the maximum mean discrepancy to extract the universal features of crime data. We then incorporate a memory network based on long short-term memory network to capture the underlying relation­ ships between temporal features. Through extensive experiments, our model demonstrates an average improvement of 11.7% in mean absolute error and 2.7% in root mean squared error across the three datasets, outperforming the best baseline model. These results underscore the effectiveness of our approach in enhancing crime prediction accuracy.",data/bronze/shan2025_ada_gcnlstm.txt,include_title_abstract,IC4,,no,high,2026-06-27,Prediccion espaciotemporal urbana con GCN/LSTM.
SLR1-0004,10.1016/j.eswa.2024.125940,MRAGNN: Refining urban spatio-temporal prediction of crime occurrence with multi-type crime correlation learning,Wang; S.; Zhang; Y.; Piao; X.; Lin; X.; Hu; Y.; Yin; B.,2025,Expert Systems with Applications,Q1,ScienceDirect,"Predicting whether crime events will occur in different areas (framed as a classification task) is a typical Crime occurrence prediction spatio-temporal data mining problem, crucial for both urban management and public safety. Contemporary Graph neural network crime occurrence prediction models predominantly leverage deep learning techniques, focusing on capturing Crime type correlations modeling the spatio-temporal dependencies within crime data. Analysis of crime data reveals correlations among different crime types, indicating shared change patterns. Leveraging these correlations among crime types significantly enhances the accuracy of crime occurrence predictions. Nevertheless, existing crime occurrence prediction models frequently overlook the utilization of these type correlations. To solve this problem, we propose a new crime occurrence prediction model with multi-type crime correlation learning: the Multi-type Relations Aware Graph Neural Networks (MRAGNN). The model dynamically constructs a spatial/type graph structure of crime data and employs dynamic graph networks to capture both spatio-temporal and type-temporal dependencies within the data. We introduce a cross-modal gated fusion mechanism to fuse the representations of two dependencies. Furthermore, we develop an improved multi-label classification focal loss to address the challenges posed by the imbalance in crime occurrence data on classification results. Experimental results validate that our model outperforms state-of-the-art (SOTA) methods in crime occurrence prediction.",data/bronze/wang2025_mragnn.txt,include_title_abstract,IC4,,no,high,2026-06-27,Prediccion espacio-temporal de ocurrencia criminal con GNN.
SLR1-0005,10.1145/3665141,HDM-GNN: A Heterogeneous Dynamic Multi-view Graph Neural Network for Crime Prediction,Zhou; Binbin; Zhou; Hang; Wang; Weikun; Chen; Liming; Ma; Jianhua; Zheng; Zengwei,2024,ACM Transactions on Sensor Networks,Q1,ACM DL; Scopus,"Smart cities have drawn a lot of interest in recent years, which employ Internet of Things (IoT)-enabled sensors to gather data from various sources and help enhance the quality of residents’ life in multiple areas, e.g. public safety. Accurate crime prediction is significant for public safety promotion. However, the complicated spatial-temporal dependencies make the task challenging, due to two aspects: 1) spatial dependency of crime includes correlations with spatially adjacent regions and underlying correlations with distant regions, e.g. mobility connectivity and functional similarity; 2) there are near-repeat and long-range temporal correlations between crime occurrences across time. Most existing studies fall short in tackling with multi-view correlations, since they usually treat them equally without consideration of different weights for these correlations. In this paper, we propose a novel model for region-level crime prediction named as Heterogeneous Dynamic Multi-view Graph Neural Network (HDM-GNN). The model can represent the dynamic spatial-temporal dependencies of crime with heterogeneous urban data, and fuse various types of region-wise correlations from multiple views. Global spatial dependencies and long-range temporal dependencies can be derived by integrating the multiple GAT modules and Gated CNN modules. Extensive experiments are conducted to evaluate the effectiveness of our method using several real-world datasets. Results demonstrate that our method outperforms state-of-the-art baselines. All the code are available at https://github.com/ZJUDataIntelligence/HDM-GNN.",data/silver/analysis/field_corpus.json,include_title_abstract,IC4,,no,high,2026-06-27,Crime prediction con heterogeneous dynamic multi-view GNN.
SLR1-0006,10.1016/j.inffus.2026.104164,Multimodal spatio-temporal fusion: A generalizable GCN-LSTM with attention framework for urban application,Guo; Y.,2026,Information Fusion,Q1,ScienceDirect,"The proliferation of urban big data presents unprecedented opportunities for understanding cities, yet the analyt- Spatio-temporal forecasting ical methods to harness this data are often fragmented and domain-speciﬁc. Existing predictive models in urban Graph neural networks computing are typically highly specialized, creating analytical silos that inhibit knowledge transfer and are dif- Urban computing ﬁcult to adapt across domains such as public safety, housing and transport. This paper confronts this critical gap Data fusion Deep learning by developing a generalizable, multimodal spatio-temporal deep learning framework engineered for both high Interpretability predictive performance and interpretability, which is capable of mastering diverse urban prediction tasks with- out architectural modiﬁcation. The hybrid architecture fuses a Multi-Head Graph Convolutional Network (GCN) for spatial diﬀusion, a Long Short-Term Memory (LSTM) network for temporal dynamics, and a learnable Gating Mechanism that weights the inﬂuence of spatial graph versus static external features. To validate this generaliz- ability, the framework was tested on three distinct urban domains in London: crime forecasting, housing price estimation and transport network demand. The model outperformed traditional baselines (ARIMA, XGBoost) and state-of-the-art deep learning models (TabNet, TFT). Moreover, the framework moves beyond prediction to explanation by incorporating attention mechanisms and permutation feature importance analysis.",data/bronze/guo2026_multimodal_gcnlstm.txt,include_title_abstract,IC4,,yes,medium,2026-06-27,"Framework urbano generalizable; incluye public safety, pero el abstract no esta centrado solo en crimen."
SLR1-0007,10.1016/j.compenvurbsys.2023.101967,Auditing the fairness of place-based crime prediction models implemented with deep learning approaches,Wu; J.; Abrar; S. M.; Awasthi; N.; Frías-Martínez; V.,2023,"Computers, Environment and Urban Systems",Q1,ScienceDirect,"Crime prediction historical crimes, together with built-environment factors, to predict aggregate volumes of crime incidents at Human mobility specific locations. Nevertheless, related work has shown that crime incident data can suffer from under-reporting Data bias bias whereby certain social groups report more crimes than others and whereby certain crimes are recorded more Algorithmic fairness often by the police. In addition, under the umbrella of crime opportunity theories that suggest that human mobility can play a role in crime generation, increasing attention has been paid to the predictive power of human mobility in place-based crime models implemented with deep learning. However, prior work has shown that human mobility data collected from cell phones can suffer from sampling bias because certain population groups are not equally represented due to lack of cell phone ownership. Despite these well reported data bias concerns, no related work has yet looked into the fairness of place-based crime prediction models implemented with deep learning; nor into the effect that adding human mobility data from cell phones as a predictor might have on their fairness. In this paper, we use publicly available fine-grained crime incident and human mobility data from the US to conduct a comprehensive fairness audit across multiple cities with diverse demographic characteristics, different types of crimes and various deep learning models; and we explore potential root causes of the models’ fairness metrics by looking into crime data bias, mobility data bias and algorithmic bias. Our results show that unfair predictions are pervasive across place-based crime prediction models implemented with deep-learning due to the inherent data bias in the crime incident data; that adding mobility features extracted from cell phone data decreases fairness under certain circumstances; and that part of the fairness loss can be explained by bias in the crime data, and in the predictive algorithms that might be exacerbating the data bias, with the mobility data bias having an insignificant effect on fairness loss.",data/bronze/wu2023_fairness_crime.txt,include_title_abstract,IC4,,no,high,2026-06-27,Auditoria de fairness en modelos DL de place-based crime prediction.
SLR1-0008,10.1016/j.scs.2025.106507,"Crime mapping in urban environments using explainable AI: A case study of Daegu, Korea",Kim; G.; Cho; Y.; Han; Y.; Lee; G.,2025,Sustainable Cities and Society,Q1,ScienceDirect,"Urban safety constitutes a foundational pillar for sustainable cities. This study aims to analyze the relationship Sustainable urban planning between various crime types and urban environmental characteristics in the case of Daegu Metropolitan City, Spatial equity South Korea, and to develop a predictive crime risk map. Spatial data were constructed by generating buffer Explainable AI zones ranging from 10 to 50 m around 112 emergency call locations. Utilizing the XGBoost algorithm in Crime risk mapping Urban safety conjunction with SHAP (SHapley Additive exPlanations), we identified key variables influencing different types CPTED of crime. The analysis revealed that commercial facilities, floating population, credit card transaction volumes, number of households, and road area were consistently significant predictors across all crime categories, with the highest predictive performance observed at the 10-meter buffer scale. Based on the prediction results, we developed high-resolution crime probability maps that visualize high-risk areas and assessed the adequacy of existing CCTV installations. By providing interpretable, spatially detailed, and high-resolution forecasts, this research enables data-driven crime prevention strategies and supports sustainable urban planning and inclusive safety policies. The proposed approach is inherently scalable and transferable to a variety of urban contexts that encounter difficulties in synchronizing safety infrastructure with rapidly evolving urban dynamics.",data/bronze/kim2025_crime_mapping_xai.txt,include_title_abstract,IC4,,no,high,2026-06-27,Crime risk map con XGBoost/SHAP en entorno urbano.
SLR1-0009,10.1016/j.compenvurbsys.2024.102089,A deep multi-scale neural networks for crime hotspot mapping prediction,Jing; C.; Lv; X.; Wang; Y.; Qin; M.; Jin; S.; Wu; S.; Xu; G.,2024,"Computers, Environment and Urban Systems",Q1,Scopus,"Prediction of high-risk areas for urban crime is of great significance for maintaining public safety and sustainable Crime prediction development. However, existing approaches are deficient in spatiotemporal sensitivity and perceptivity, which Multi-scale make it difficult to extract the spatiotemporal dependency from uneven and sparsely distributed data. To address Hotspot mapping this problem, the novel multi-scale neural network models, namely ST-HGNet and ST-HGNet(a) with attention, Spatiotemporal dependencies were proposed. It is dedicated to further exploring spatiotemporal patterns and improving hotspot location prediction accuracy for sparse types of crimes. First, multi-scale conception and attention mechanisms were introduced to address the receptive field range fixed problem. It enhanced representation of captured infor­ mation by exposing spatial “scale” dimension and assigning weight relationships. Then, novel multi-scale hier­ archical gating architecture was designed that has two forms of whether to add attention or not, to enhance the sensitivity of features and the perception of sparse features by filtering the valid information at different scales. Ultimately, the periodic temporal components were used to capture different time-trend dependencies. The proposed model adopted well-known Chicago assault crime dataset as a case study. Compared with five common benchmark models, the results show that the ST-HGNet model outperformed other baseline models and achieved higher prediction accuracy at multiple level spatial resolution. In particular, ST-HGNet(a) with self-attention achieved the greatest improvement at 1000 m, with a mean hit rate of more than 84%.",data/bronze/jing2024_deep_multiscale_hotspot.txt,include_title_abstract,IC4,,no,high,2026-06-27,Crime hotspot mapping prediction con multi-scale neural networks.
SLR1-0010,10.3390/ijgi13070229,Graph Representation Learning for Street-Level Crime Prediction,Gu; Haishuo; Sui; Jinguang; Chen; Peng,2024,ISPRS International Journal of Geo-Information,Q2,Scopus,"In contemporary research, the street network emerges as a prominent and recurring theme in crime prediction studies. Meanwhile, graph representation learning shows considerable success, which motivates us to apply the methodology to crime prediction research. In this article, a graph representation learning approach is utilized to derive topological structure embeddings within the street network. Subsequently, a heterogeneous information network that incorporates both the street network and urban facilities is constructed, and embeddings through link prediction tasks are obtained. Finally, the two types of high-order embeddings, along with other spatio-temporal features, are fed into a deep neural network for street-level crime prediction. The proposed framework is tested using data from Beijing, and the outcomes demonstrate that both types of embeddings have a positive impact on crime prediction, with the second embedding showing a more significant contribution. Comparative experiments indicate that the proposed deep neural network offers superior efficiency in crime prediction.",data/silver/analysis/field_corpus.json,include_title_abstract,IC4,,no,high,2026-06-27,Street-level crime prediction con graph representation learning y DNN.
